THPREDICTIONS BCDMSD  170831-nh-001
227  0.212313            0.00390988          
228  0.21042             0.00385299          
229  0.20854             0.00379742          
230  0.206638            0.00374214          
231  0.204594            0.00368367          
232  0.202329            0.00362009          
233  0.199277            0.00353627          
234  0.195928            0.00344672          
235  0.179407            0.00340717          
236  0.177281            0.00334708          
237  0.175215            0.00328983          
238  0.173245            0.0032361           
239  0.171298            0.00318373          
240  0.169338            0.0031318           
241  0.167242            0.00307701          
242  0.164932            0.00301743          
243  0.16184             0.00293896          
244  0.158473            0.00285515          
245  0.143326            0.00291088          
246  0.141246            0.00285195          
247  0.139324            0.00279763          
248  0.137433            0.00274472          
249  0.135538            0.00269226          
250  0.133519            0.00263699          
251  0.131305            0.00257704          
252  0.128356            0.0024983           
253  0.125169            0.00241427          
