THPREDICTIONS BCDMSD  Deuteron
221  0.0898119           0.00204292          
222  0.0877485           0.0020695           
223  0.0850177           0.00211629          
224  0.0557826           0.00122553          
225  0.0542208           0.00124949          
226  0.0527159           0.00126824          
227  0.0512898           0.00128203          
228  0.0499546           0.00129304          
229  0.0486593           0.00130341          
230  0.0473822           0.00131496          
231  0.0460468           0.0013308           
232  0.0446136           0.00135441          
233  0.0427547           0.00139821          
234  0.0408011           0.00146222          
235  0.0247805           0.000796146         
236  0.0238956           0.000816325         
237  0.0230652           0.000832782         
238  0.0222934           0.000845727         
239  0.0215479           0.000857272         
240  0.020816            0.000869655         
241  0.0200562           0.000887017         
242  0.019249            0.000914633         
243  0.0182209           0.000966638         
244  0.0171674           0.00104516          
245  0.00908641          0.000355395         
246  0.00871683          0.00036965          
247  0.00838111          0.000388827         
248  0.00806056          0.000413463         
249  0.00774543          0.000444384         
250  0.00741776          0.000486449         
251  0.00707009          0.000545852         
252  0.00663139          0.000648            
253  0.00618748          0.0007886           
